Per,Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Tier,Ability I,Ability II,Hidden Ability,Mass,LK/GK,EV Worth,EXPV,Color,Hatch,Gender,Egg Group I,Egg Group II,Catch,EXP,Evolve,Per.1,Nat.1,Joh,Hoe,Sin,Un,Pokemon.1,generation
21.0,21.0,Spearow,40,60,30,31,31,70,262,Normal,Flying,NU,Keen Eye,,Sniper,2.0 kG,20,1 Spe,58,Brown,3840,Neutral,Flying,,255,1000000,,21.0,21.0,13.0,,,,Spearow,1
22.0,22.0,Fearow,65,90,65,61,61,100,442,Normal,Flying,NU,Keen Eye,,Sniper,38.0 kG,60,2 Spe,162,Brown,,Neutral,Flying,,90,1000000,Lv. 20,22.0,22.0,14.0,,,,Fearow,1
23.0,23.0,Ekans,30,60,44,40,54,55,283,Poison,,NU,Intimidate,Shed Skin,Unnerve,6.9 kG,20,1 Atk,62,Purple,5120,Neutral,Field,Dragon,255,1000000,,23.0,23.0,50.0,,,,Ekans,1
24.0,24.0,Arbok,60,85,69,65,79,80,438,Poison,,NU,Intimidate,Shed Skin,Unnerve,65.0 kG,80,2 Atk,147,Purple,,Neutral,Field,Dragon,90,1000000,Lv. 22,24.0,24.0,51.0,,,,Arbok,1
26.0,25.0,Pikachu,35,55,30,50,40,90,300,Electric,,NU,Static,,Lightningrod,6.0 kG,20,2 Spe,82,Yellow,,Neutral,Field,Fairy,190,1000000,Friendship,26.0,25.0,22.0,156.0,104.0,,Pikachu,1
27.0,26.0,Raichu,60,90,55,90,80,100,475,Electric,,NU,Static,,Lightningrod,30.0 kG,60,3 Spe,122,Yellow,,Neutral,Field,Fairy,75,1000000,Thunderstone,27.0,26.0,23.0,157.0,105.0,,Raichu,1
28.0,27.0,Sandshrew,50,75,85,20,30,40,300,Ground,,NU,Sand Veil,,Sand Rush,12.0 kG,40,1 Def,93,Yellow,5120,Neutral,Field,,255,1000000,,28.0,27.0,48.0,112.0,,,Sandshrew,1
29.0,28.0,Sandslash,75,100,110,45,55,65,450,Ground,,NU,Sand Veil,,Sand Rush,29.5 kG,60,2 Def,163,Yellow,,Neutral,Field,,90,1000000,Lv. 22,29.0,28.0,49.0,113.0,,,Sandslash,1
31.0,30.0,Nidorina,70,62,67,55,55,56,365,Poison,,NU,Poison Point,Rivalry,Hustle,20.0 kG,40,2 HP,117,Blue,,F (100%),-,,120,1059860,Lv. 16,31.0,30.0,96.0,,,,Nidorina,1
32.0,31.0,Nidoqueen,90,82,87,75,85,76,495,Poison,Ground,UU,Poison Point,Rivalry,Sheer Force,60.0 kG,80,3 HP,194,Blue,,F (100%),-,,45,1059860,Moon Stone,32.0,31.0,97.0,,,,Nidoqueen,1
34.0,33.0,Nidorino,61,72,57,55,55,65,365,Poison,,NU,Poison Point,Rivalry,Hustle,19.5 kG,40,2 Atk,118,Purple,,M (100%),Monster,Field,120,1059860,Lv. 16,34.0,33.0,99.0,,,,Nidorino,1
35.0,34.0,Nidoking,81,92,77,85,75,85,495,Poison,Ground,UU,Poison Point,Rivalry,Sheer Force,62.0 kG,80,3 Atk,195,Purple,,M (100%),Monster,Field,45,1059860,Moon Stone,35.0,34.0,100.0,,,,Nidoking,1
37.0,35.0,Clefairy,70,45,48,60,65,35,323,Normal,,NU,Cute Charm,Magic Guard,Friend Guard,7.5 kG,20,2 HP,68,Pink,,F (75%),Fairy,,150,800000,Friendship,37.0,35.0,41.0,,100.0,,Clefairy,1
38.0,36.0,Clefable,95,70,73,85,90,60,473,Normal,,RU,Cute Charm,Magic Guard,Unaware,40.0 kG,60,3 HP,129,Pink,,F (75%),Fairy,,25,800000,Moon Stone,38.0,36.0,42.0,,101.0,,Clefable,1
39.0,37.0,Vulpix,38,41,40,50,65,65,299,Fire,,UU,Flash Fire,,Drought,9.9 kG,20,1 Spe,63,Brown,5120,F (75%),Field,,190,1000000,,39.0,37.0,125.0,153.0,,,Vulpix,1
40.0,38.0,Ninetales,73,76,75,81,100,100,505,Fire,,OU,Flash Fire,,Drought,19.9 kG,40,1 SpD/1 Spe,178,Yellow,,F (75%),Field,,75,1000000,Fire Stone,40.0,38.0,126.0,154.0,,,Ninetales,1
42.0,39.0,Jigglypuff,115,45,20,45,25,20,270,Normal,,NU,Cute Charm,,Friend Guard,5.5 kG,20,2 HP,76,Pink,,F (75%),Fairy,,170,800000,Friendship,42.0,39.0,44.0,138.0,,,Jigglypuff,1
43.0,40.0,Wigglytuff,140,70,45,75,50,45,425,Normal,,NU,Cute Charm,,Frisk,12.0 kG,40,3 HP,109,Pink,,F (75%),Fairy,,50,800000,Moon Stone,43.0,40.0,45.0,139.0,,,Wigglytuff,1
44.0,41.0,Zubat,40,45,35,30,40,55,245,Poison,Flying,NU,Inner Focus,,Infiltrator,7.5 kG,20,1 Spe,54,Purple,3840,Neutral,Flying,,255,1000000,,44.0,41.0,37.0,63.0,28.0,,Zubat,1
45.0,42.0,Golbat,75,80,70,65,75,90,455,Poison,Flying,NU,Inner Focus,,Infiltrator,55.0 kG,80,2 Spe,171,Purple,,Neutral,Flying,,90,1000000,Lv. 22,45.0,42.0,38.0,64.0,29.0,,Golbat,1
47.0,43.0,Oddish,45,50,55,75,65,30,320,Grass,Poison,NU,Chlorophyll,,Run Away,5.4 kG,20,1 SpA,78,Blue,5120,Neutral,Grass,,255,1059860,,47.0,43.0,83.0,88.0,,,Oddish,1
48.0,44.0,Gloom,60,65,70,85,75,40,395,Grass,Poison,NU,Chlorophyll,,Stench,8.6 kG,20,2 SpA/1 SpD,132,Blue,,Neutral,Grass,,120,1059860,Lv. 22,48.0,44.0,84.0,89.0,,,Gloom,1
49.0,45.0,Vileplume,75,80,85,100,90,50,480,Grass,Poison,NU,Chlorophyll,,Effect Spore,18.6 kG,40,3 SpA,184,Red,,Neutral,Grass,,45,1059860,Leaf Stone,49.0,45.0,85.0,90.0,,,Vileplume,1
51.0,46.0,Paras,35,70,55,45,55,25,285,Bug,Grass,NU,Effect Spore,Dry Skin,Damp,5.4 kG,20,1 Atk,70,Red,5120,Neutral,Bug,Grass,190,1000000,,51.0,46.0,70.0,,,,Paras,1
52.0,47.0,Parasect,60,95,80,60,80,30,405,Bug,Grass,NU,Effect Spore,Dry Skin,Damp,29.5 kG,60,2 Atk/1 Def,128,Red,,Neutral,Bug,Grass,75,1000000,Lv. 24,52.0,47.0,71.0,,,,Parasect,1
53.0,48.0,Venonat,60,55,50,40,55,45,305,Bug,Poison,NU,Compoundeyes,Tinted Lens,Run Away,30.0 kG,60,1 SpD,75,Purple,5120,Neutral,Bug,,190,1000000,,53.0,48.0,108.0,,,,Venonat,1
54.0,49.0,Venomoth,70,65,60,90,75,90,450,Bug,Poison,RU,Shield Dust,Tinted Lens,Wonder Skin,12.5 kG,40,1 SpA/1 Spe,138,Purple,,Neutral,Bug,,75,1000000,Lv. 31,54.0,49.0,109.0,,,,Venomoth,1
55.0,50.0,Diglett,10,55,25,35,45,95,265,Ground,,NU,Sand Veil,Arena Trap,Sand Force,0.8 kG,20,1 Spe,81,Brown,5120,Neutral,Field,,255,1000000,,55.0,50.0,132.0,,,,Diglett,1
56.0,51.0,Dugtrio,35,80,50,50,70,120,405,Ground,,NU,Sand Veil,Arena Trap,Sand Force,33.3 kG,60,2 Spe,153,Brown,,Neutral,Field,,50,1000000,Lv. 26,56.0,51.0,133.0,,,,Dugtrio,1
57.0,52.0,Meowth,40,45,35,40,40,90,290,Normal,,NU,Pickup,Technician,Unnerve,4.2 kG,20,1 Spe,69,Yellow,5120,Neutral,Field,,255,1000000,,57.0,52.0,136.0,,,,Meowth,1
58.0,53.0,Persian,65,70,60,65,65,115,440,Normal,,NU,Limber,Technician,Unnerve,32.0 kG,60,2 Spe,148,Yellow,,Neutral,Field,,90,1000000,Lv. 28,58.0,53.0,137.0,,,,Persian,1
59.0,54.0,Psyduck,50,52,48,65,50,55,320,Water,,NU,Damp,Cloud Nine,Swift Swim,19.6 kG,40,1 SpA,80,Yellow,5120,Neutral,Water 1,Field,190,1000000,,59.0,54.0,138.0,158.0,43.0,,Psyduck,1
60.0,55.0,Golduck,80,82,78,95,80,85,500,Water,,NU,Damp,Cloud Nine,Swift Swim,76.6 kG,80,2 SpA,174,Blue,,Neutral,Water 1,Field,75,1000000,Lv. 33,60.0,55.0,139.0,159.0,44.0,,Golduck,1
61.0,56.0,Mankey,40,80,35,35,45,70,305,Fighting,,NU,Vital Spirit,Anger Point,Defiant,28.0 kG,60,1 Atk,74,Brown,5120,Neutral,Field,,190,1000000,,61.0,56.0,134.0,,,,Mankey,1
62.0,57.0,Primeape,65,105,60,60,70,95,455,Fighting,,RU,Vital Spirit,Anger Point,Defiant,32.0 kG,60,2 Atk,149,Brown,,Neutral,Field,,75,1000000,Lv. 28,62.0,57.0,135.0,,,,Primeape,1
63.0,58.0,Growlithe,55,70,45,70,50,60,350,Fire,,NU,Intimidate,Flash Fire,Justified,19.0 kG,40,1 Atk,91,Brown,5120,M (75%),Field,,190,1250000,,63.0,58.0,127.0,,,,Growlithe,1
64.0,59.0,Arcanine,90,110,80,100,80,95,555,Fire,,UU,Intimidate,Flash Fire,Justified,155.0 kG,100,2 Atk,213,Brown,,M (75%),Field,,75,1250000,Fire Stone,64.0,59.0,128.0,,,,Arcanine,1
65.0,60.0,Poliwag,40,50,40,40,40,90,300,Water,,NU,Water Absorb,Damp,Swift Swim,12.4 kG,40,1 Spe,77,Blue,5120,Neutral,Water 1,,255,1059860,,65.0,60.0,72.0,,,,Poliwag,1
66.0,61.0,Poliwhirl,65,65,65,50,50,90,385,Water,,NU,Water Absorb,Damp,Swift Swim,20.0 kG,40,2 Spe,131,Blue,,Neutral,Water 1,,120,1059860,Lv. 25,66.0,61.0,73.0,,,,Poliwhirl,1
67.0,62.0,Poliwrath,90,85,95,70,90,70,500,Water,Fighting,RU,Water Absorb,Damp,Swift Swim,54.0 kG,80,3 Def,185,Blue,,Neutral,Water 1,,45,1059860,Water Stone,67.0,62.0,74.0,,,,Poliwrath,1
69.0,63.0,Abra,25,20,15,105,55,90,310,Psychic,,NU,Synchronize,Inner Focus,Magic Guard,19.5 kG,40,1 SpA,75,Brown,5120,M (75%),Human-Like,,200,1059860,,69.0,63.0,89.0,39.0,20.0,,Abra,1
70.0,64.0,Kadabra,40,35,30,120,70,105,400,Psychic,,NU,Synchronize,Inner Focus,Magic Guard,56.5 kG,80,2 SpA,145,Brown,,M (75%),Human-Like,,100,1059860,Lv. 16,70.0,64.0,90.0,40.0,21.0,,Kadabra,1
71.0,65.0,Alakazam,55,50,45,135,85,120,490,Psychic,,RU,Synchronize,Inner Focus,Magic Guard,48.0 kG,60,3 SpA,186,Brown,,M (75%),Human-Like,,50,1059860,Trade,71.0,65.0,91.0,41.0,22.0,,Alakazam,1
72.0,66.0,Machop,70,80,50,35,35,35,305,Fighting,,NU,Guts,No Guard,Steadfast,19.5 kG,40,1 Atk,75,Gray,5120,M (75%),Human-Like,,180,1059860,,72.0,66.0,140.0,73.0,40.0,,Machop,1
73.0,67.0,Machoke,80,100,70,50,60,45,405,Fighting,,NU,Guts,No Guard,Steadfast,70.5 kG,80,2 Atk,146,Gray,,M (75%),Human-Like,,90,1059860,Lv. 28,73.0,67.0,141.0,74.0,41.0,,Machoke,1
74.0,68.0,Machamp,90,130,80,65,85,55,505,Fighting,,OU,Guts,No Guard,Steadfast,130.0 kG,100,3 Atk,193,Gray,,M (75%),Human-Like,,45,1059860,Trade,74.0,68.0,142.0,75.0,42.0,,Machamp,1
75.0,69.0,Bellsprout,50,75,35,70,30,40,300,Grass,Poison,NU,Chlorophyll,,Gluttony,4.0 kG,20,1 Atk,84,Green,5120,Neutral,Grass,,255,1059860,,75.0,69.0,64.0,,,,Bellsprout,1
76.0,70.0,Weepinbell,65,90,50,85,45,55,390,Grass,Poison,NU,Chlorophyll,,Gluttony,6.4 kG,20,2 Atk,151,Green,,Neutral,Grass,,120,1059860,Lv. 21,76.0,70.0,65.0,,,,Weepinbell,1
77.0,71.0,Victreebel,80,105,65,100,60,70,480,Grass,Poison,UU,Chlorophyll,,Gluttony,15.5 kG,40,3 Atk,191,Green,,Neutral,Grass,,45,1059860,Leaf Stone,77.0,71.0,66.0,,,,Victreebel,1
78.0,72.0,Tentacool,40,40,35,50,100,70,335,Water,Poison,NU,Clear Body,Liquid Ooze,Rain Dish,45.5 kG,60,1 SpD,105,Blue,5120,Neutral,Water 3,,190,1250000,,78.0,72.0,162.0,66.0,136.0,,Tentacool,1
79.0,73.0,Tentacruel,80,70,65,80,120,100,515,Water,Poison,OU,Clear Body,Liquid Ooze,Rain Dish,55.0 kG,80,2 SpD,205,Blue,,Neutral,Water 3,,60,1250000,Lv. 30,79.0,73.0,163.0,67.0,137.0,,Tentacruel,1
80.0,74.0,Geodude,40,80,100,30,30,20,300,Rock,Ground,NU,Rock Head,Sturdy,Sand Veil,20.0 kG,40,1 Def,73,Brown,3840,Neutral,Mineral,,255,1059860,,80.0,74.0,34.0,57.0,31.0,,Geodude,1
81.0,75.0,Graveler,55,95,115,45,45,35,390,Rock,Ground,NU,Rock Head,Sturdy,Sand Veil,105.0 kG,100,2 Def,134,Brown,,Neutral,Mineral,,120,1059860,Lv. 25,81.0,75.0,35.0,58.0,32.0,,Graveler,1
82.0,76.0,Golem,80,110,130,55,65,45,485,Rock,Ground,NU,Rock Head,Sturdy,Sand Veil,300.0 kG,120,3 Def,177,Brown,,Neutral,Mineral,,45,1059860,Trade,82.0,76.0,36.0,59.0,33.0,,Golem,1
83.0,77.0,Ponyta,50,85,55,65,65,90,410,Fire,,NU,Run Away,Flash Fire,Flame Body,30.0 kG,60,1 Spe,152,Yellow,5120,Neutral,Field,,190,1000000,,83.0,77.0,201.0,,77.0,,Ponyta,1
84.0,78.0,Rapidash,65,100,70,80,80,105,500,Fire,,NU,Run Away,Flash Fire,Flame Body,95.0 kG,80,1 Spe,192,Yellow,,Neutral,Field,,60,1000000,Lv. 40,84.0,78.0,202.0,,78.0,,Rapidash,1
85.0,79.0,Slowpoke,90,65,65,40,40,15,315,Water,Psychic,NU,Oblivious,Own Tempo,Regenerator,36.0 kG,60,1 HP,99,Pink,5120,Neutral,Monster,Water 1,190,1000000,,85.0,79.0,80.0,,,,Slowpoke,1
86.0,80.0,Slowbro,95,75,110,100,80,30,490,Water,Psychic,UU,Oblivious,Own Tempo,Regenerator,78.5 kG,80,2 Def,164,Pink,,Neutral,Monster,Water 1,75,1000000,Lv. 37,86.0,80.0,81.0,,,,Slowbro,1
88.0,81.0,Magnemite,25,35,70,95,55,45,325,Electric,Steel,NU,Magnet Pull,Sturdy,Analytic,6.0 kG,20,1 SpA,89,Gray,5120,,Mineral,,190,1000000,,88.0,81.0,118.0,82.0,178.0,,Magnemite,1
89.0,82.0,Magneton,50,60,95,120,70,70,465,Electric,Steel,NU,Magnet Pull,Sturdy,Analytic,60.0 kG,80,2 SpA,161,Gray,,,Mineral,,60,1000000,Lv. 30,89.0,82.0,119.0,83.0,179.0,,Magneton,1
91.0,83.0,Farfetch'd,52,65,55,58,62,60,352,Normal,Flying,NU,Keen Eye,Inner Focus,Defiant,15.0 kG,40,1 Atk,94,Brown,5120,Neutral,Flying,Field,45,1000000,N,91.0,83.0,158.0,,,,Farfetch'd,1
92.0,84.0,Doduo,35,85,45,35,35,75,310,Normal,Flying,NU,Run Away,Early Bird,Tangled Feet,39.2 kG,60,1 Atk,96,Brown,5120,Neutral,Flying,,190,1000000,,92.0,84.0,199.0,92.0,,,Doduo,1
93.0,85.0,Dodrio,60,110,70,60,60,100,460,Normal,Flying,NU,Run Away,Early Bird,Tangled Feet,85.2 kG,80,2 Atk,158,Brown,,Neutral,Flying,,45,1000000,Lv. 31,93.0,85.0,200.0,93.0,,,Dodrio,1
94.0,86.0,Seel,65,45,55,45,70,45,325,Water,,NU,Thick Fat,Hydration,Ice Body,90.0 kG,80,1 SpD,100,White,5120,Neutral,Water 1,Field,190,1000000,,94.0,86.0,176.0,,,,Seel,1
95.0,87.0,Dewgong,90,70,80,70,95,70,475,Water,Ice,NU,Thick Fat,Hydration,Ice Body,120.0 kG,100,2 SpD,176,White,,Neutral,Water 1,Field,75,1000000,Lv. 34,95.0,87.0,177.0,,,,Dewgong,1
96.0,88.0,Grimer,80,80,50,40,50,25,325,Poison,,NU,Stench,Sticky Hold,Poison Touch,30.0 kG,60,1 HP,90,Purple,5120,Neutral,Amorphous,,190,1000000,,96.0,88.0,116.0,106.0,,,Grimer,1
97.0,89.0,Muk,105,105,75,65,100,50,500,Poison,,NU,Stench,Sticky Hold,Poison Touch,30.0 kG,60,1 HP/1 Atk,157,Purple,,Neutral,Amorphous,,75,1000000,Lv. 38,97.0,89.0,117.0,107.0,,,Muk,1
98.0,90.0,Shellder,30,65,100,45,25,40,305,Water,,NU,Shell Armor,Skill Link,Overcoat,4.0 kG,20,1 Def,97,Purple,5120,Neutral,Water 3,,190,1250000,,98.0,90.0,169.0,,,,Shellder,1
99.0,91.0,Cloyster,50,90,180,85,45,70,520,Water,Ice,OU,Shell Armor,Skill Link,Overcoat,132.5 kG,100,2 Def,203,Purple,,Neutral,Water 3,,60,1250000,Water Stone,99.0,91.0,170.0,,,,Cloyster,1
100.0,92.0,Gastly,30,35,30,100,35,80,310,Ghost,Poison,NU,Levitate,,,0.1 kG,20,1 SpA,95,Purple,5120,Neutral,Amorphous,,190,1059860,,100.0,92.0,58.0,,69.0,,Gastly,1
101.0,93.0,Haunter,45,50,45,115,55,95,405,Ghost,Poison,NU,Levitate,,,0.1 kG,20,2 SpA,126,Purple,,Neutral,Amorphous,,90,1059860,Lv. 25,101.0,93.0,59.0,,70.0,,Haunter,1
102.0,94.0,Gengar,60,65,60,130,75,110,500,Ghost,Poison,OU,Levitate,,,40.5 kG,60,3 SpA,190,Purple,,Neutral,Amorphous,,45,1059860,Trade,102.0,94.0,60.0,,71.0,,Gengar,1
103.0,95.0,Onix,35,45,160,30,45,70,385,Rock,Ground,NU,Rock Head,Sturdy,Weak Armor,210.0 kG,120,1 Def,108,Gray,6140,Neutral,Mineral,,45,1000000,,103.0,95.0,62.0,,34.0,,Onix,1
105.0,96.0,Drowzee,60,48,45,43,90,42,328,Psychic,,NU,Insomnia,Forewarn,Inner Focus,32.4 kG,60,1 SpD,102,Yellow,5120,Neutral,Human-Like,,190,1000000,,105.0,96.0,87.0,,,,Drowzee,1
106.0,97.0,Hypno,85,73,70,73,115,67,483,Psychic,,NU,Insomnia,Forewarn,Inner Focus,75.6 kG,80,2 SpD,165,Yellow,,Neutral,Human-Like,,75,1000000,Lv. 26,106.0,97.0,88.0,,,,Hypno,1
107.0,98.0,Krabby,30,105,90,25,25,50,325,Water,,NU,Hyper Cutter,Shell Armor,Sheer Force,6.5 kG,20,1 Atk,115,Red,5120,Neutral,Water 3,,225,1000000,,107.0,98.0,164.0,,,,Krabby,1
108.0,99.0,Kingler,55,130,115,50,50,75,475,Water,,NU,Hyper Cutter,Shell Armor,Sheer Force,60.0 kG,80,2 Atk,206,Red,,Neutral,Water 3,,60,1000000,Lv. 28,108.0,99.0,165.0,,,,Kingler,1
109.0,100.0,Voltorb,40,30,50,55,55,100,330,Electric,,NU,Soundproof,Static,Aftermath,10.4 kG,40,1 Spe,103,Red,5120,,Mineral,,190,1000000,,109.0,100.0,120.0,84.0,,,Voltorb,1
110.0,101.0,Electrode,60,50,70,80,80,140,480,Electric,,NU,Soundproof,Static,Aftermath,66.6 kG,80,2 Spe,150,Red,,,Mineral,,60,1000000,Lv. 30,110.0,101.0,121.0,85.0,,,Electrode,1
111.0,102.0,Exeggcute,60,40,80,60,45,40,325,Grass,Psychic,NU,Chlorophyll,,Harvest,2.5 kG,20,1 Def,98,Pink,5120,Neutral,Grass,,90,1250000,,111.0,102.0,104.0,,,,Exeggcute,1
112.0,103.0,Exeggutor,95,95,85,125,65,55,520,Grass,Psychic,NU,Chlorophyll,,Harvest,120.0 kG,100,2 SpA,212,Yellow,,Neutral,Grass,,45,1250000,Leaf Stone,112.0,103.0,105.0,,,,Exeggutor,1
113.0,104.0,Cubone,50,50,95,40,50,35,320,Ground,,NU,Rock Head,Lightningrod,Battle Armor,6.5 kG,20,1 Def,87,Brown,5120,Neutral,Monster,,190,1000000,,113.0,104.0,203.0,,,,Cubone,1
114.0,105.0,Marowak,60,80,110,50,80,45,425,Ground,,NU,Rock Head,Lightningrod,Battle Armor,45.0 kG,60,2 Def,124,Brown,,Neutral,Monster,,75,1000000,Lv. 28,114.0,105.0,204.0,,,,Marowak,1
116.0,106.0,Hitmonlee,50,120,53,35,110,87,455,Fighting,,RU,Limber,Reckless,Unburden,49.8 kG,60,2 Atk,139,Brown,,M (100%),Human-Like,,45,1000000,Lv. 20 (Atk>Def),116.0,106.0,144.0,,,,Hitmonlee,1
117.0,107.0,Hitmonchan,50,105,79,35,110,76,455,Fighting,,RU,Keen Eye,Iron Fist,Inner Focus,50.2 kG,80,2 SpD,140,Brown,,M (100%),Human-Like,,45,1000000,Lv. 20 (Atk<Def),117.0,107.0,145.0,,,,Hitmonchan,1
119.0,108.0,Lickitung,90,55,75,60,75,30,385,Normal,,NU,Own Tempo,Oblivious,Cloud Nine,65.5 kG,80,2 HP,127,Pink,5120,Neutral,Monster,,45,1000000,,119.0,108.0,178.0,,161.0,,Lickitung,1
121.0,109.0,Koffing,40,65,95,60,45,35,340,Poison,,NU,Levitate,,,1.0 kG,20,1 Def,114,Purple,5120,Neutral,Amorphous,,190,1000000,,121.0,109.0,114.0,108.0,,,Koffing,1
122.0,110.0,Weezing,65,90,120,85,70,60,490,Poison,,RU,Levitate,,,9.5 kG,20,2 Def,173,Purple,,Neutral,Amorphous,,60,1000000,Lv. 35,122.0,110.0,115.0,109.0,,,Weezing,1
123.0,111.0,Rhyhorn,80,85,95,30,30,25,345,Ground,Rock,NU,Lightningrod,Rock Head,Reckless,115.0 kG,100,1 Def,135,Gray,5120,Neutral,Monster,Field,120,1250000,,123.0,111.0,206.0,169.0,186.0,,Rhyhorn,1
124.0,112.0,Rhydon,105,130,120,45,45,40,485,Ground,Rock,NU,Lightningrod,Rock Head,Reckless,120.0 kG,100,2 Atk,204,Gray,,Neutral,Monster,Field,60,1250000,Lv. 42,124.0,112.0,207.0,170.0,187.0,,Rhydon,1
127.0,113.0,Chansey,250,5,5,35,105,50,450,Normal,,UU,Natural Cure,Serene Grace,Healer,34.6 kG,60,2 HP,255,Pink,10240,F (100%),Fairy,,30,800000,Morn/Day Fr. h/ Oval Stone,127.0,113.0,217.0,,97.0,,Chansey,1
